DATE,vwretd
1995/01/09,0.001042
1995/01/10,0.002056
1995/01/11,-0.000454
1995/01/12,0.000185
1995/01/13,0.008543
1995/01/16,0.007830
1995/01/17,0.002278
1995/01/18,-0.001144
1995/01/19,-0.005345
1995/01/20,-0.004909
1995/01/23,-0.000378
1995/01/24,0.001967
1995/01/25,0.002191
1995/01/26,0.000549
1995/01/27,0.003732
1995/01/30,-0.004442
1995/01/31,0.003962
1995/02/01,0.001851
1995/02/02,0.004623
1995/02/03,0.012280
1995/02/06,0.006086
1995/02/07,-0.000437
1995/02/08,0.001453
1995/02/09,-0.000534
1995/02/10,0.002483
1995/02/13,0.000329
1995/02/14,0.001084
1995/02/15,0.004785
1995/02/16,-0.000453
1995/02/17,-0.005077
1995/02/21,-0.000282
1995/02/22,0.004093
1995/02/23,0.004651
1995/02/24,0.001726
1995/02/27,-0.007779
1995/02/28,0.008116
1995/03/01,-0.002976
1995/03/02,-0.000833
1995/03/03,0.001327
1995/03/06,-0.000917
1995/03/07,-0.006949
1995/03/08,0.002114
1995/03/09,0.000730
1995/03/10,0.011042
1995/03/13,0.000984
1995/03/14,0.005573
1995/03/15,-0.001199
1995/03/16,0.005711
1995/03/17,-0.000415
1995/03/20,0.001327
1995/03/21,-0.002145
1995/03/22,0.000744
1995/03/23,0.001076
1995/03/24,0.009268
1995/03/27,0.004946
1995/03/28,0.001582
1995/03/29,-0.001371
1995/03/30,-0.000274
1995/03/31,-0.002444
1995/04/03,0.001327
1995/04/04,0.004471
1995/04/05,0.001443
1995/04/06,0.000810
1995/04/07,-0.000406
1995/04/10,0.002456
1995/04/11,-0.001265
1995/04/12,0.003453
1995/04/13,0.003486
1995/04/17,-0.004416
1995/04/18,-0.002852
1995/04/19,-0.002796
1995/04/20,0.001745
1995/04/21,0.005287
1995/04/24,0.007374
1995/04/25,-0.000673
1995/04/26,0.001578
1995/04/27,0.002068
1995/04/28,0.001800
1995/05/01,-0.000731
1995/05/02,0.001006
1995/05/03,0.009166
1995/05/04,-0.000656
1995/05/05,-0.000606
1995/05/08,0.006380
1995/05/09,0.000402
1995/05/10,0.001645
1995/05/11,0.002081
1995/05/12,0.002328
1995/05/15,0.004442
1995/05/16,0.001814
1995/05/17,-0.001481
1995/05/18,-0.012178
1995/05/19,-0.000678
1995/05/22,0.007301
1995/05/23,0.008524
1995/05/24,0.000019
1995/05/25,-0.000004
1995/05/26,-0.007493
1995/05/30,-0.001714
1995/05/31,0.014017
1995/06/01,0.001633
1995/06/02,0.000428
1995/06/05,0.006195
1995/06/06,-0.000158
1995/06/07,-0.002969
1995/06/08,-0.000491
1995/06/09,-0.006979
1995/06/12,0.004966
1995/06/13,0.009127
1995/06/14,0.001013
1995/06/15,0.002651
1995/06/16,0.004222
1995/06/19,0.009053
1995/06/20,0.000439
1995/06/21,-0.000271
1995/06/22,0.011166
1995/06/23,-0.002526
1995/06/26,-0.009602
1995/06/27,-0.003244
1995/06/28,0.003184
1995/06/29,-0.000077
1995/06/30,0.003213
1995/07/03,0.003407
1995/07/05,0.002158
1995/07/06,0.011207
1995/07/07,0.006480
1995/07/10,0.002153
1995/07/11,-0.002973
1995/07/12,0.011074
1995/07/13,0.000714
1995/07/14,-0.001359
1995/07/17,0.004255
1995/07/18,-0.007747
1995/07/19,-0.016200
1995/07/20,0.006041
1995/07/21,0.000911
1995/07/24,0.007060
1995/07/25,0.007442
1995/07/26,0.002274
1995/07/27,0.006876
1995/07/28,-0.002589
1995/07/31,-0.000732
1995/08/01,-0.004613
1995/08/02,-0.001589
1995/08/03,-0.000918
1995/08/04,0.001673
1995/08/07,0.002556
1995/08/08,0.000761
1995/08/09,0.000135
1995/08/10,-0.002697
1995/08/11,-0.003189
1995/08/14,0.007163
1995/08/15,-0.000966
1995/08/16,0.004625
1995/08/17,0.000397
1995/08/18,0.001003
1995/08/21,-0.002034
1995/08/22,0.001719
1995/08/23,-0.002314
1995/08/24,-0.000380
1995/08/25,0.004073
1995/08/28,-0.002742
1995/08/29,0.000263
1995/08/30,0.003292
1995/08/31,0.003240
1995/09/01,0.002950
1995/09/05,0.009635
1995/09/06,0.003777
1995/09/07,0.000930
1995/09/08,0.005084
1995/09/11,0.002690
1995/09/12,0.002906
1995/09/13,0.003782
1995/09/14,0.005629
1995/09/15,-0.001785
1995/09/18,-0.001251
1995/09/19,0.003060
1995/09/20,0.004517
1995/09/21,-0.005694
1995/09/22,-0.003089
1995/09/25,-0.001723
1995/09/26,-0.000920
1995/09/27,-0.003042
1995/09/28,0.009013
1995/09/29,-0.000533
1995/10/02,-0.005999
1995/10/03,-0.001508
1995/10/04,-0.004286
1995/10/05,0.003057
1995/10/06,0.000402
1995/10/09,-0.010338
1995/10/10,-0.002383
1995/10/11,0.006184
1995/10/12,0.007779
1995/10/13,0.003675
1995/10/16,-0.001723
1995/10/17,0.005781
1995/10/18,0.002234
1995/10/19,0.003052
1995/10/20,-0.005519
1995/10/23,-0.004174
1995/10/24,0.001494
1995/10/25,-0.008046
1995/10/26,-0.009282
1995/10/27,0.004087
1995/10/30,0.006414
1995/10/31,-0.001672
1995/11/01,0.004875
1995/11/02,0.010436
1995/11/03,0.003264
1995/11/06,-0.002361
1995/11/07,-0.004717
1995/11/08,0.007000
1995/11/09,0.004575
1995/11/10,-0.000903
1995/11/13,-0.001167
1995/11/14,-0.006277
1995/11/15,0.005200
1995/11/16,0.005900
1995/11/17,0.004088
1995/11/20,-0.005223
1995/11/21,0.002169
1995/11/22,-0.001977
1995/11/24,0.003538
1995/11/27,0.001778
1995/11/28,0.007714
1995/11/29,0.004225
1995/11/30,-0.000103
1995/12/01,0.001554
